Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Profit Margin,Sales Category,Profitable
Standard Class,Corporate,United States,Columbus,Indiana,47201,Central,Office Supplies,Paper,14.94,3,0.00,7.32,49,Low,14.94
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Appliances,121.94,2,0.00,35.36,29,Low,121.94
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Supplies,122.71,7,0.00,36.81,30,Low,122.71
Same Day,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,14.94,3,0.00,7.02,47,Low,14.94
Same Day,Consumer,United States,New York City,New York,10035,East,Technology,Machines,1349.85,3,0.00,364.46,27,High,1349.85
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,Bookcases,136.78,1,0.20,5.13,3.75,Low,109.43
Same Day,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,61.12,4,0.00,20.78,34,Low,61.12
Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,1.17,1,0.70,-0.86,-73.33,Low,0.35
Standard Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Art,16.99,1,0.00,4.93,29,Low,16.99
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Technology,Accessories,24.67,3,0.20,0,0,Low,19.74
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,2.52,1,0.20,0.88,35,Low,2.02
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Tables,1218.74,5,0.30,-121.87,-10,High,853.11
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Labels,5.9,2,0.20,1.99,33.75,Low,4.72
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Office Supplies,Paper,15.7,3,0.20,5.1,32.5,Low,12.56
Standard Class,Corporate,United States,Arlington,Texas,76017,Central,Furniture,Furnishings,6.1,3,0.60,-3.96,-65,Low,2.44
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Furniture,Chairs,41.57,2,0.20,2.6,6.25,Low,33.25
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Furniture,Chairs,230.28,3,0.20,23.03,10,Low,184.22
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Binders,18.29,6,0.20,5.72,31.25,Low,14.63
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Labels,5.78,2,0.00,2.72,47,Low,5.78
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,121.68,13,0.20,38.03,31.25,Low,97.34
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Art,4.17,3,0.00,1.08,26,Low,4.17
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Technology,Phones,67.04,4,0.20,6.7,10,Low,53.63
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Storage,37.32,3,0.00,10.45,28,Low,37.32
Standard Class,Corporate,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Labels,18.45,5,0.00,8.67,47,Low,18.45
Second Class,Corporate,United States,Saint Louis,Missouri,63116,Central,Office Supplies,Paper,25.92,4,0.00,12.44,48,Low,25.92
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Copiers,11199.97,4,0.20,"3,919.99",35,High,8959.97
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,2399.6,8,0.00,647.89,27,High,2399.6
First Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Envelopes,63.9,5,0.00,28.76,45,Low,63.9
First Class,Home Office,United States,New York City,New York,10024,East,Technology,Phones,52.99,1,0.00,0.53,1,Low,52.99
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Accessories,60.86,4,0.20,9.13,15,Low,48.69
First Class,Corporate,United States,Springfield,Ohio,45503,East,Technology,Machines,653,7,0.70,-935.96,-143.33,Medium,195.9
First Class,Corporate,United States,Springfield,Ohio,45503,East,Office Supplies,Binders,11.22,10,0.70,-7.48,-66.67,Low,3.37
Standard Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,14.94,3,0.00,7.02,47,Low,14.94
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Furnishings,39.96,2,0.00,17.18,43,Low,39.96
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Chairs,42.62,2,0.20,4.26,10,Low,34.1
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Chairs,220.96,1,0.20,24.86,11.25,Low,176.77
Second Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Furniture,Furnishings,4.93,2,0.20,0.74,15,Low,3.94
Second Class,Corporate,United States,Fayetteville,North Carolina,28314,South,Office Supplies,Binders,7.23,5,0.70,-5.78,-80,Low,2.17
Standard Class,Corporate,United States,Los Angeles,California,90045,West,Office Supplies,Storage,323.1,2,0.00,61.39,19,Low,323.1
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,19.04,4,0.00,9.33,49,Low,19.04
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,13.13,3,0.20,4.27,32.5,Low,10.5
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Art,64.14,3,0.00,16.68,26,Low,64.14
Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Chairs,858.24,4,0.10,143.04,16.67,Medium,772.42
Standard Class,Consumer,United States,Hot Springs,Arkansas,71901,South,Technology,Accessories,29.99,1,0.00,3,10,Low,29.99
First Class,Consumer,United States,Aurora,Illinois,60505,Central,Office Supplies,Paper,186.05,6,0.20,67.44,36.25,Low,148.84
Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Technology,Phones,36.79,1,0.20,4.14,11.25,Low,29.43
Second Class,Home Office,United States,Raleigh,North Carolina,27604,South,Furniture,Furnishings,18.62,8,0.20,6.29,33.75,Low,14.9
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,57.69,3,0.00,23.65,41,Low,57.69
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Binders,42.81,3,0.00,20.12,47,Low,42.81
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Office Supplies,Paper,12.96,2,0.00,6.22,48,Low,12.96
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Furniture,Furnishings,821.88,6,0.00,213.69,26,Medium,821.88
Second Class,Consumer,United States,Tulsa,Oklahoma,74133,Central,Technology,Phones,104.85,3,0.00,28.31,27,Low,104.85
Standard Class,Corporate,United States,Hesperia,California,92345,West,Furniture,Bookcases,424.96,5,0.15,20,4.71,Low,361.21
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Binders,10.78,3,0.20,3.5,32.5,Low,8.62
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Binders,11.78,3,0.20,4.27,36.25,Low,9.43
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Paper,164.88,3,0.00,80.79,49,Low,164.88
Second Class,Corporate,United States,Provo,Utah,84604,West,Furniture,Bookcases,1292.94,3,0.00,77.58,6,High,1292.94
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Binders,25.58,2,0.20,8.95,35,Low,20.47
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Storage,261.74,2,0.00,65.44,25,Low,261.74
Second Class,Corporate,United States,Provo,Utah,84604,West,Office Supplies,Labels,14.4,5,0.00,7.06,49,Low,14.4
Standard Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Envelopes,10.86,3,0.00,5.1,47,Low,10.86
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Furniture,Chairs,883.84,4,0.20,99.43,11.25,Medium,707.07
Standard Class,Corporate,United States,New York City,New York,10035,East,Technology,Phones,1979.89,11,0.00,494.97,25,High,1979.89
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Envelopes,79.96,2,0.00,35.98,45,Low,79.96
First Class,Home Office,United States,Springfield,Missouri,65807,Central,Office Supplies,Binders,8.76,2,0.00,4.2,48,Low,8.76
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Labels,3.98,1,0.20,1.29,32.5,Low,3.19
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Tables,370.62,3,0.40,-142.07,-38.33,Low,222.37
First Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Binders,2.74,2,0.70,-2.01,-73.33,Low,0.82
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,79.51,3,0.20,20.87,26.25,Low,63.61
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Office Supplies,Paper,28.35,1,0.20,9.57,33.75,Low,22.68
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Furniture,Chairs,40.78,1,0.20,4.59,11.25,Low,32.63
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Office Supplies,Appliances,105.96,4,0.00,29.67,28,Low,105.96
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper,166.44,3,0.00,79.89,48,Low,166.44
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Furniture,Chairs,785.88,6,0.00,212.19,27,Medium,785.88
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Paper,26.2,2,0.00,12.84,49,Low,26.2
Second Class,Corporate,United States,Lowell,Massachusetts,1852,East,Office Supplies,Storage,1325.85,5,0.00,238.65,18,High,1325.85
Same Day,Consumer,United States,San Diego,California,92024,West,Office Supplies,Paper,166.44,3,0.00,79.89,48,Low,166.44
Standard Class,Consumer,United States,Asheville,North Carolina,28806,South,Office Supplies,Art,8.76,5,0.20,0.77,8.75,Low,7.01
Standard Class,Consumer,United States,Asheville,North Carolina,28806,South,Office Supplies,Appliances,43.58,1,0.20,4.36,10,Low,34.87
Same Day,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Binders,11.09,7,0.70,-8.13,-73.33,Low,3.33
Same Day,Consumer,United States,Pueblo,Colorado,81001,West,Office Supplies,Binders,25.16,2,0.70,-16.78,-66.67,Low,7.55
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,14.4,5,0.00,7.06,49,Low,14.4
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Accessories,619.95,5,0.00,111.59,18,Medium,619.95
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Office Supplies,Binders,89.52,4,0.00,42.07,47,Low,89.52
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Machines,350.97,3,0.10,152.09,43.33,Low,315.88
Standard Class,Home Office,United States,Jackson,Michigan,49201,Central,Technology,Phones,164.99,1,0.00,49.5,30,Low,164.99
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,312.55,9,0.20,101.58,32.5,Low,250.04
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Envelopes,95.95,3,0.20,29.99,31.25,Low,76.76
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Binders,3.2,2,0.70,-2.46,-76.67,Low,0.96
First Class,Consumer,United States,Peoria,Illinois,61604,Central,Office Supplies,Binders,3.98,5,0.80,-6.57,-165,Low,0.8
First Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Paper,15.7,5,0.00,7.07,45,Low,15.7
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Office Supplies,Art,5.25,4,0.20,1.64,31.25,Low,4.2
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,5.35,3,0.70,-4.46,-83.33,Low,1.6
Standard Class,Consumer,United States,Englewood,Colorado,80112,West,Office Supplies,Paper,15.48,3,0.20,5.61,36.25,Low,12.38
Standard Class,Consumer,United States,Englewood,Colorado,80112,West,Technology,Phones,108.58,3,0.20,8.14,7.5,Low,86.86
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Furniture,Furnishings,109.9,5,0.00,37.37,34,Low,109.9
Standard Class,Consumer,United States,Hialeah,Florida,33012,South,Furniture,Furnishings,15.38,1,0.20,4.04,26.25,Low,12.31
First Class,Consumer,United States,Lancaster,Ohio,43130,East,Office Supplies,Paper,30.35,2,0.20,10.62,35,Low,24.28
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines,821.3,4,0.50,-16.43,-2,Medium,410.65
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Machines,22638.48,6,0.50,"-1,811.08",-8,High,11319.24
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Paper,21.38,4,0.20,7.48,35,Low,17.1
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Art,8.02,3,0.20,1,12.5,Low,6.41
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings,30.77,2,0.20,8.08,26.25,Low,24.61
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Office Supplies,Fasteners,18.94,3,0.20,5.92,31.25,Low,15.15
Standard Class,Home Office,United States,Jacksonville,Florida,32216,South,Furniture,Furnishings,122.35,3,0.20,15.29,12.5,Low,97.88
Standard Class,Consumer,United States,Baltimore,Maryland,21215,East,Office Supplies,Paper,116.28,3,0.00,56.98,49,Low,116.28
Second Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,132.6,6,0.00,17.24,13,Low,132.6
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Supplies,16.68,2,0.00,4.34,26,Low,16.68
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Paper,19.44,3,0.00,9.33,48,Low,19.44
Standard Class,Home Office,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Paper,192.16,4,0.00,92.24,48,Low,192.16
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Furnishings,227.36,7,0.00,81.85,36,Low,227.36
Standard Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Machines,1919.98,3,0.20,216,11.25,High,1535.98
Standard Class,Consumer,United States,Jacksonville,Florida,32216,South,Office Supplies,Binders,12.83,2,0.70,-8.98,-70,Low,3.85
First Class,Corporate,United States,Lakewood,Ohio,44107,East,Furniture,Furnishings,45.89,4,0.20,9.18,20,Low,36.71
Second Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,60.12,9,0.00,22.24,37,Low,60.12
Standard Class,Consumer,United States,Wilmington,North Carolina,28403,South,Technology,Phones,302.38,3,0.20,37.8,12.5,Low,241.9
Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,13.9,5,0.00,5.56,40,Low,13.9
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,129.98,2,0.00,62.39,48,Low,129.98
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Technology,Accessories,71.98,2,0.00,15.12,21,Low,71.98
Standard Class,Consumer,United States,New York City,New York,10024,East,Technology,Phones,377.97,3,0.00,109.61,29,Low,377.97
Standard Class,Consumer,United States,Costa Mesa,California,92627,West,Office Supplies,Storage,124.36,2,0.00,33.58,27,Low,124.36
Second Class,Consumer,United States,Houston,Texas,77095,Central,Furniture,Furnishings,23.98,3,0.60,-14.39,-60,Low,9.59
Second Class,Corporate,United States,Cary,North Carolina,27511,South,Office Supplies,Fasteners,8.38,3,0.20,2.72,32.5,Low,6.7
Second Class,Corporate,United States,Cary,North Carolina,27511,South,Office Supplies,Appliances,58.24,5,0.20,5.1,8.75,Low,46.59
Second Class,Consumer,United States,Alexandria,Virginia,22304,South,Office Supplies,Storage,81.2,5,0.00,12.18,15,Low,81.2
Standard Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,14.45,5,0.00,6.79,47,Low,14.45
Standard Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders,95.65,2,0.20,31.09,32.5,Low,76.52
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,359.97,5,0.40,-71.99,-20,Low,215.98
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Tables,350.35,4,0.40,-140.14,-40,Low,210.21
First Class,Consumer,United States,Toledo,Ohio,43615,East,Office Supplies,Binders,1.64,1,0.70,-1.31,-80,Low,0.49
First Class,Consumer,United States,Toledo,Ohio,43615,East,Technology,Phones,629.96,7,0.40,94.49,15,Medium,377.97
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Art,6.63,3,0.00,1.79,27,Low,6.63
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Accessories,799.96,4,0.00,343.98,43,Medium,799.96
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Furnishings,107.53,1,0.00,21.51,20,Low,107.53
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Technology,Phones,73.98,2,0.00,19.97,27,Low,73.98
Standard Class,Consumer,United States,Plainfield,New Jersey,7060,East,Office Supplies,Art,5.58,1,0.00,2.18,39,Low,5.58
Second Class,Consumer,United States,Las Cruces,New Mexico,88001,West,Office Supplies,Paper,49.12,4,0.00,23.09,47,Low,49.12
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,377.97,3,0.00,94.49,25,Low,377.97
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,42.28,7,0.00,19.87,47,Low,42.28
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Furniture,Bookcases,299.97,3,0.00,56.99,19,Low,299.97
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,89.98,2,0.00,43.19,48,Low,89.98
First Class,Corporate,United States,Hoover,Alabama,35244,South,Office Supplies,Supplies,477.24,4,0.00,9.54,2,Low,477.24
First Class,Corporate,United States,Hoover,Alabama,35244,South,Technology,Accessories,25.98,2,0.00,1.56,6,Low,25.98
Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Envelopes,46.72,5,0.20,17.52,37.5,Low,37.38
Standard Class,Consumer,United States,San Diego,California,92037,West,Furniture,Furnishings,35.34,2,0.00,13.43,38,Low,35.34
Second Class,Corporate,United States,San Francisco,California,94122,West,Furniture,Furnishings,257.64,6,0.00,100.48,39,Low,257.64
Second Class,Corporate,United States,San Francisco,California,94122,West,Technology,Phones,125.98,3,0.20,47.24,37.5,Low,100.78
Second Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories,79.99,1,0.20,22,27.5,Low,63.99
Standard Class,Consumer,United States,Franklin,Massachusetts,2038,East,Furniture,Tables,700.06,3,0.30,-130.01,-18.57,Medium,490.04
Standard Class,Home Office,United States,Frisco,Texas,75034,Central,Technology,Accessories,27.17,4,0.20,-1.36,-5,Low,21.73
Standard Class,Consumer,United States,Tallahassee,Florida,32303,South,Office Supplies,Binders,8.23,3,0.70,-6.03,-73.33,Low,2.47
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,585.55,3,0.20,73.19,12.5,Medium,468.44
Second Class,Consumer,United States,Vacaville,California,95687,West,Office Supplies,Storage,423.28,11,0.00,110.05,26,Low,423.28
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Furniture,Chairs,225.3,2,0.20,22.53,10,Low,180.24
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,5.56,2,0.00,2.22,40,Low,5.56
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Accessories,323.37,3,0.00,129.35,40,Low,323.37
Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Phones,783.96,5,0.20,68.6,8.75,Medium,627.17
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,1447.65,5,0.00,419.82,29,High,1447.65
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,11.96,2,0.00,5.86,49,Low,11.96
Second Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,239.97,3,0.00,71.99,30,Low,239.97
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,76.92,4,0.00,31.54,41,Low,76.92
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Storage,481.32,4,0.00,125.14,26,Low,481.32
First Class,Home Office,United States,Murray,Utah,84107,West,Office Supplies,Paper,48.4,5,0.00,23.23,48,Low,48.4
First Class,Home Office,United States,San Francisco,California,94110,West,Technology,Accessories,0.99,1,0.00,0.44,44,Low,0.99
First Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Binders,101.84,5,0.20,36.92,36.25,Low,81.47
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,10.33,3,0.70,-7.58,-73.33,Low,3.1
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,31.16,5,0.70,-23.89,-76.67,Low,9.35
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,8.93,2,0.20,0.67,7.5,Low,7.14
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,34.38,1,0.20,3.87,11.25,Low,27.51
First Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Appliances,1924.16,8,0.20,312.68,16.25,High,1539.33
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,32.19,2,0.80,-80.48,-250,Low,6.44
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,50.12,7,0.20,-0.63,-1.25,Low,40.1
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Technology,Accessories,47.98,3,0.20,1.8,3.75,Low,38.38
Standard Class,Consumer,United States,Waukesha,Wisconsin,53186,Central,Office Supplies,Storage,54.5,5,0.00,14.17,26,Low,54.5
First Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Furnishings,19.1,3,0.20,5.73,30,Low,15.28
Standard Class,Consumer,United States,Detroit,Michigan,48205,Central,Office Supplies,Binders,49.44,3,0.00,24.23,49,Low,49.44
Standard Class,Home Office,United States,Springfield,Ohio,45503,East,Office Supplies,Paper,10.37,2,0.20,3.63,35,Low,8.29
Standard Class,Consumer,United States,San Diego,California,92037,West,Office Supplies,Storage,154.44,3,0.00,1.54,1,Low,154.44
Standard Class,Corporate,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Appliances,60.98,7,0.20,4.57,7.5,Low,48.79
Second Class,Consumer,United States,Bakersfield,California,93309,West,Furniture,Bookcases,195.47,2,0.15,-13.8,-7.06,Low,166.15
Standard Class,Corporate,United States,Pompano Beach,Florida,33068,South,Furniture,Furnishings,23.68,8,0.20,6.22,26.25,Low,18.94
Standard Class,Corporate,United States,Pompano Beach,Florida,33068,South,Technology,Accessories,2.38,3,0.20,0.74,31.25,Low,1.9
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Labels,59.2,4,0.00,29.6,50,Low,59.2
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,22,10,0.00,9.68,44,Low,22
Standard Class,Consumer,United States,Detroit,Michigan,48234,Central,Technology,Phones,257.98,2,0.00,74.81,29,Low,257.98
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,23.99,2,0.40,-15.99,-66.67,Low,14.39
Standard Class,Corporate,United States,Troy,Ohio,45373,East,Technology,Phones,23.98,4,0.40,-15.58,-65,Low,14.39
First Class,Home Office,United States,Los Angeles,California,90036,West,Furniture,Chairs,601.54,4,0.20,0,0,Medium,481.23
First Class,Home Office,United States,Los Angeles,California,90036,West,Office Supplies,Fasteners,7.9,2,0.00,2.53,32,Low,7.9
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,58.36,5,0.60,-24.8,-42.5,Low,23.34
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Office Supplies,Art,16.46,7,0.20,1.44,8.75,Low,13.17
Standard Class,Corporate,United States,Corpus Christi,Texas,78415,Central,Furniture,Furnishings,39.96,5,0.60,-23.98,-60,Low,15.98
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances,25.96,2,0.00,7.53,29,Low,25.96
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Appliances,36.27,3,0.00,10.88,30,Low,36.27
First Class,Corporate,United States,Omaha,Nebraska,68104,Central,Office Supplies,Paper,6.48,1,0.00,3.11,48,Low,6.48
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Technology,Phones,1075.09,14,0.20,94.07,8.75,High,860.07
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Technology,Phones,438.37,4,0.20,38.36,8.75,Low,350.69
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Office Supplies,Binders,18.09,7,0.20,6.56,36.25,Low,14.47
Standard Class,Corporate,United States,Redondo Beach,California,90278,West,Furniture,Bookcases,308.5,3,0.15,-18.15,-5.88,Low,262.22
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Art,13.36,4,0.00,4.14,31,Low,13.36
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Paper,39.96,2,0.00,18.78,47,Low,39.96
Standard Class,Consumer,United States,Little Rock,Arkansas,72209,South,Office Supplies,Binders,145.85,5,0.00,70.01,48,Low,145.85
First Class,Corporate,United States,Miami,Florida,33180,South,Technology,Phones,783.96,5,0.20,78.4,10,Medium,627.17
First Class,Consumer,United States,Salem,Oregon,97301,West,Office Supplies,Art,7.88,1,0.20,1.77,22.5,Low,6.3
Standard Class,Consumer,United States,Las Cruces,New Mexico,88001,West,Furniture,Furnishings,41.37,3,0.00,17.38,42,Low,41.37
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,12.84,3,0.00,5.78,45,Low,12.84
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,25.68,6,0.00,11.56,45,Low,25.68
Standard Class,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,47.52,2,0.30,-2.04,-4.29,Low,33.26
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Fasteners,9.42,2,0.00,0.47,5,Low,9.42
Second Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,12.96,2,0.00,6.22,48,Low,12.96
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Bookcases,704.9,5,0.00,56.39,8,Medium,704.9
Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,561.57,2,0.20,28.08,5,Medium,449.25
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Office Supplies,Paper,179.82,9,0.00,84.52,47,Low,179.82
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Furnishings,185.58,6,0.00,76.09,41,Low,185.58
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,214.11,3,0.00,36.4,17,Low,214.11
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Technology,Accessories,999.96,4,0.00,229.99,23,Medium,999.96
Second Class,Home Office,United States,Milwaukee,Wisconsin,53209,Central,Furniture,Tables,653.55,3,0.00,111.1,17,Medium,653.55
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Office Supplies,Binders,114.6,5,0.00,51.57,45,Low,114.6
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Chairs,60.74,1,0.00,15.19,25,Low,60.74
Standard Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,124.36,2,0.00,27.36,22,Low,124.36
